datetime,atr
2024-03-11,4.6253
2024-03-12,4.7577
2024-03-13,4.6166
2024-03-14,4.6634
2024-03-15,4.7021
2024-03-18,4.7685
2024-03-19,4.7750
2024-03-20,4.8284
2024-03-21,4.7419
2024-03-22,4.5196
2024-03-25,4.3107
2024-03-26,4.2292
2024-03-27,4.2404
2024-03-28,4.0678
2024-04-01,4.0200
2024-04-02,4.1373
2024-04-03,4.0757
2024-04-04,4.5757
2024-04-05,4.7736
2024-04-08,4.5957
2024-04-09,4.7231
2024-04-10,4.9005
2024-04-11,5.0773
2024-04-12,5.3498
2024-04-15,5.8021
2024-04-16,5.6931
2024-04-17,5.7920
2024-04-18,5.7748
2024-04-19,5.8319
2024-04-22,5.9294
2024-04-23,5.9727
2024-04-24,5.8480
2024-04-25,5.9942
2024-04-26,6.0210
2024-04-29,5.8401
2024-04-30,5.9982
2024-05-01,6.1625
2024-05-02,6.1737
2024-05-03,6.2682
2024-05-06,6.1992
2024-05-07,5.9073
2024-05-08,5.6705
2024-05-09,5.5148
2024-05-10,5.3377
2024-05-13,5.1651
2024-05-14,5.0290
2024-05-15,5.1525
2024-05-16,4.9967
2024-05-17,4.7965
2024-05-20,4.6240
2024-05-21,4.4682
2024-05-22,4.4182
2024-05-23,4.6971
2024-05-24,4.6684
2024-05-28,4.5771
2024-05-29,4.5662
2024-05-30,4.5797
2024-05-31,4.9033
2024-06-03,5.0308
2024-06-04,4.9698
2024-06-05,5.0634
2024-06-06,4.8968
2024-06-07,4.8571
2024-06-10,4.7537
2024-06-11,4.7673
2024-06-12,4.9372
2024-06-13,4.8505
2024-06-14,4.7148
2024-06-17,4.8709
2024-06-18,4.6575
2024-06-20,4.6766
2024-06-21,4.5304
2024-06-24,4.5161
2024-06-25,4.3907
2024-06-26,4.3063
2024-06-27,4.1666
2024-06-28,4.3925
2024-07-01,4.3188
2024-07-02,4.3932
2024-07-03,4.3065
2024-07-05,4.2796
2024-07-08,4.1211
2024-07-09,3.9624
2024-07-10,4.0973
2024-07-11,4.2689
2024-07-12,4.4775
2024-07-15,4.5296
2024-07-16,4.4654
2024-07-17,4.7357
2024-07-18,5.0467
2024-07-19,5.1270
2024-07-22,5.2093
2024-07-23,5.0844
2024-07-24,5.6848
2024-07-25,5.9934
2024-07-26,6.1924
2024-07-29,6.0594
2024-07-30,6.2569
2024-07-31,6.6314
2024-08-01,7.2605
2024-08-02,7.7712
2024-08-05,8.8325
2024-08-06,9.0852
2024-08-07,9.4033
2024-08-08,9.6338
2024-08-09,9.3706
2024-08-12,9.0427
2024-08-13,9.0404
2024-08-14,8.7404
